date,latitude,longitude,altitude_m,ndvi,albedo,cloud_cover_pct,humidity_pct,insolation_wm2,day_of_year,month,year,lst_celsius
2018-01-24,-16.0366,-161.1872,508.9,0.5718,0.1742,27.72,59.31,286.98,24,1,2018,22.335
2018-01-25,-5.2716,-29.2344,141.5,0.6046,0.2242,26.99,77.61,309.61,25,1,2018,32.169
2018-01-26,34.2211,-86.3432,167.7,0.6492,0.1498,25.05,66.56,304.49,26,1,2018,19.457
2018-01-27,-36.0391,83.0955,12.1,0.7193,0.1978,57.29,69.54,243.24,27,1,2018,18.671
2018-01-28,1.7081,173.267,832.2,0.4434,0.2149,41.35,45.97,346.48,28,1,2018,32.155
2018-01-29,11.0897,-87.6492,178.7,0.6048,0.0763,0.0,79.45,342.04,29,1,2018,36.918
2018-01-30,-54.426,55.5029,657.5,0.6276,0.313,62.36,68.17,245.21,30,1,2018,8.023
2018-01-31,12.9054,-108.6849,657.2,0.5582,0.1615,19.72,69.56,347.82,31,1,2018,30.235
2018-02-01,-39.5371,23.5189,1031.8,0.8072,0.0882,72.14,43.4,229.62,32,2,2018,15.046
2018-02-02,-52.1938,-12.9843,136.1,0.5591,0.2085,21.41,67.53,271.27,33,2,2018,11.29
2018-02-03,53.8663,169.9219,584.9,0.6205,0.2028,16.38,60.83,278.71,34,2,2018,6.466
2018-02-04,55.8758,39.0698,1212.7,0.6816,0.1982,61.88,52.64,212.73,35,2,2018,5.437
2018-02-05,37.0077,-54.1777,52.9,0.5949,0.23,28.98,64.94,265.47,36,2,2018,23.525
2018-02-06,-23.4463,-138.9255,314.0,0.4854,0.2056,11.73,61.54,322.04,37,2,2018,27.604
2018-02-07,-48.2793,-125.5511,452.0,0.6061,0.2042,0.78,73.84,299.44,38,2,2018,14.541
2018-02-08,22.108,-98.8859,585.1,0.7821,0.1861,43.3,47.74,324.65,39,2,2018,29.548
2018-02-09,-7.1817,-89.652,453.3,0.656,0.1503,41.21,84.09,322.22,40,2,2018,32.664
2018-02-10,-45.3554,126.2218,151.1,0.5801,0.2704,18.82,74.17,324.35,41,2,2018,22.486
2018-02-11,-0.5788,22.0402,474.9,0.7909,0.0769,40.63,68.27,325.42,42,2,2018,41.719
2018-02-12,-55.8734,8.4207,374.1,0.6252,0.2003,67.89,75.96,221.94,43,2,2018,11.568
2018-02-13,49.1184,-138.6832,470.2,0.6204,0.1858,19.65,50.84,332.53,44,2,2018,19.852
2018-02-14,-28.9464,129.6503,388.9,0.7122,0.1989,48.04,61.76,277.24,45,2,2018,21.679
2018-02-15,19.5027,80.2131,811.5,0.7847,0.1072,55.47,62.31,289.91,46,2,2018,29.296
2018-02-16,-22.5947,-155.6394,80.9,0.9475,0.0627,14.94,91.39,361.86,47,2,2018,33.667
2018-02-17,2.4082,74.8206,29.2,0.8031,0.1477,33.73,75.16,302.99,48,2,2018,41.853
2018-02-18,5.6052,15.6738,9.1,0.8395,0.1526,61.19,81.15,350.51,49,2,2018,39.394
2018-02-19,-37.8175,-150.5789,632.1,0.6558,0.2347,2.53,57.74,350.93,50,2,2018,24.436
2018-02-20,56.3502,-15.0118,660.2,0.5835,0.1226,38.53,66.64,268.57,51,2,2018,18.472
2018-02-21,33.0159,-5.5093,480.5,0.7241,0.2096,51.38,84.05,310.01,52,2,2018,21.833
2018-02-22,52.7399,-120.3212,773.4,0.7084,0.2966,0.97,72.52,348.15,53,2,2018,17.102
2018-02-23,47.3793,160.4513,171.2,0.6002,0.1498,32.83,68.62,292.98,54,2,2018,18.261
2018-02-24,11.748,125.9911,966.9,0.7237,0.0663,74.38,66.73,274.02,55,2,2018,31.874
2018-02-25,50.6249,60.848,909.3,0.7497,0.1515,65.46,67.13,208.37,56,2,2018,14.095
2018-02-26,-49.3809,-13.5736,594.2,0.7504,0.1696,26.05,71.16,289.19,57,2,2018,17.946
2018-02-27,-36.4821,-31.7644,1012.7,0.7829,0.1769,47.51,71.59,300.06,58,2,2018,23.777
2018-02-28,-54.5727,54.3504,362.6,0.7419,0.1466,74.35,80.44,227.76,59,2,2018,10.167
2018-03-01,-20.9604,16.3555,90.2,0.7002,0.2075,49.67,71.38,330.08,60,3,2018,30.828
2018-03-02,-13.3587,-157.5817,5.9,0.706,0.0677,18.87,80.45,355.53,61,3,2018,38.953
2018-03-03,-27.4381,4.501,588.6,0.6315,0.05,35.37,59.97,294.04,62,3,2018,30.556
2018-03-04,39.4485,110.3053,120.1,0.9208,0.203,63.05,67.38,285.65,63,3,2018,24.429
2018-03-05,-17.1896,-14.6736,603.0,0.7644,0.05,32.1,63.55,366.1,64,3,2018,37.913
2018-03-06,-26.2879,-161.2956,848.2,0.737,0.1188,47.67,61.25,324.17,65,3,2018,25.661
2018-03-07,5.1235,103.0602,578.1,0.6787,0.2704,36.54,48.29,334.35,66,3,2018,35.942
2018-03-08,-43.0891,-107.509,413.5,1.0,0.1493,0.0,82.4,375.71,67,3,2018,25.848
2018-03-09,36.2636,-86.8965,95.1,0.6495,0.0826,22.74,43.89,400.61,68,3,2018,31.049
2018-03-10,-51.0539,-120.7057,38.7,0.6981,0.1597,15.43,100.0,320.01,69,3,2018,20.657
2018-03-11,58.4264,-61.1226,799.8,0.774,0.1741,13.08,78.5,280.07,70,3,2018,12.927
2018-03-12,32.6694,92.4305,611.7,0.8261,0.1394,33.46,64.74,310.54,71,3,2018,26.017
2018-03-13,-36.1541,6.9789,284.4,0.8601,0.1686,42.72,73.03,316.23,72,3,2018,26.041
2018-03-14,-59.3373,-106.2427,132.8,0.917,0.1253,20.01,79.38,262.51,73,3,2018,17.298
2018-03-15,37.8554,136.0188,510.3,0.8164,0.2212,63.69,62.78,273.68,74,3,2018,21.971
2018-03-16,24.8229,136.6495,128.3,0.6734,0.1314,54.76,73.47,308.94,75,3,2018,30.566
2018-03-17,27.4809,133.4082,1064.6,0.7527,0.1579,52.54,57.64,332.67,76,3,2018,25.227
2018-03-18,32.5524,-94.0334,212.2,0.806,0.096,37.7,72.0,344.18,77,3,2018,31.792
2018-03-19,-51.1146,-17.5538,375.8,0.9618,0.2226,14.28,75.41,338.81,78,3,2018,21.434
2018-03-20,-16.9841,174.5963,703.0,0.6492,0.0969,49.93,49.3,273.71,79,3,2018,38.807
2018-03-21,-46.0957,97.9245,202.0,0.8839,0.1618,34.74,75.04,319.35,80,3,2018,23.555
2018-03-22,43.5724,-170.2197,373.9,0.7857,0.0964,24.03,71.74,335.89,81,3,2018,23.001
2018-03-23,14.7958,-156.5263,675.2,0.8766,0.057,13.84,68.69,378.45,82,3,2018,44.394
2018-03-24,-20.2922,-12.9847,305.0,0.7805,0.1452,47.24,68.88,284.51,83,3,2018,34.253
2018-03-25,-52.373,147.3193,1447.4,0.6744,0.137,49.82,63.16,250.95,84,3,2018,13.794
2018-03-26,-22.6821,13.9326,367.4,0.8656,0.0697,44.61,68.26,297.74,85,3,2018,34.712
2018-03-27,-20.978,-0.7875,723.5,0.8576,0.0784,23.12,68.57,314.78,86,3,2018,34.639
2018-03-28,27.5527,-142.0295,230.9,0.885,0.1523,23.2,87.21,347.95,87,3,2018,32.985
2018-03-29,16.5069,56.4408,608.8,0.7941,0.075,45.21,65.96,309.92,88,3,2018,31.803
2018-03-30,46.4655,115.9571,476.5,0.7087,0.1409,63.73,69.17,310.18,89,3,2018,20.667
2018-03-31,-3.3342,-43.0488,6.7,0.6439,0.101,11.48,71.81,379.13,90,3,2018,42.103
2018-04-01,-45.6487,99.2203,391.6,0.8518,0.05,79.69,83.54,261.2,91,4,2018,18.964
2018-04-02,25.5894,167.2116,443.2,0.8326,0.05,19.29,67.43,324.96,92,4,2018,31.473
2018-04-03,31.2942,-106.6441,541.3,0.6887,0.1387,8.74,78.49,354.44,93,4,2018,29.679
2018-04-04,7.3533,8.3987,419.3,0.745,0.0645,68.08,67.58,298.51,94,4,2018,39.062
2018-04-05,32.5161,-76.6303,555.5,0.737,0.1766,14.01,57.81,337.17,95,4,2018,30.408
2018-04-06,-0.7445,105.4276,723.2,0.6507,0.1488,39.56,68.96,331.97,96,4,2018,40.745
2018-04-07,2.7279,27.9336,447.0,0.7167,0.1368,52.66,64.58,316.13,97,4,2018,39.141
2018-04-08,-8.6951,48.4497,359.2,0.6835,0.1937,47.84,74.49,321.35,98,4,2018,36.733
2018-04-09,-56.9497,107.2491,52.4,0.7107,0.1648,46.56,46.13,298.71,99,4,2018,22.149
2018-04-10,-47.053,-37.4506,15.1,0.6909,0.1814,11.4,73.64,342.09,100,4,2018,27.145
2018-04-11,-56.2285,149.4324,774.7,0.5887,0.1386,91.7,55.56,204.85,101,4,2018,8.096
2018-04-12,16.3692,11.8904,874.5,0.9931,0.2311,40.35,56.11,342.98,102,4,2018,30.316
2018-04-13,-22.2773,-123.1363,204.8,0.9117,0.2132,0.0,69.63,399.66,103,4,2018,35.171
2018-04-14,1.0285,70.5237,318.4,0.715,0.1042,81.26,63.79,274.65,104,4,2018,42.858
2018-04-15,48.908,105.5741,61.8,0.7847,0.1735,68.43,74.29,238.17,105,4,2018,22.28
2018-04-16,-30.0849,-65.9658,769.1,0.8188,0.1923,10.24,51.17,365.71,106,4,2018,27.802
2018-04-17,-10.754,128.5845,566.2,0.9065,0.1006,41.64,72.8,355.38,107,4,2018,38.464
2018-04-18,30.6661,146.2116,1076.5,0.6919,0.0934,61.22,71.35,307.07,108,4,2018,27.601
2018-04-19,-32.5442,-80.3144,51.3,0.8797,0.1731,16.58,79.63,343.86,109,4,2018,31.725
2018-04-20,-50.7624,174.0677,148.8,0.6931,0.1639,13.18,79.72,338.04,110,4,2018,24.612
2018-04-21,-25.2298,-129.3438,392.6,0.6398,0.1312,51.34,77.85,300.93,111,4,2018,31.197
2018-04-22,-40.6534,-107.2744,558.6,0.8295,0.1016,14.39,80.58,339.32,112,4,2018,21.81
2018-04-23,51.5637,-113.6791,213.7,0.8706,0.0773,44.12,92.91,264.39,113,4,2018,17.502
2018-04-24,36.9744,141.8363,49.2,1.0,0.151,71.53,74.27,254.39,114,4,2018,25.569
2018-04-25,16.0085,55.5453,652.6,0.6516,0.1629,41.48,56.06,352.89,115,4,2018,34.078
2018-04-26,44.5753,-125.2425,588.5,0.8145,0.1414,39.16,75.3,295.21,116,4,2018,22.255
2018-04-27,36.4406,-21.4836,66.5,0.7107,0.2127,22.9,80.3,333.23,117,4,2018,27.586
2018-04-28,-37.6116,41.5073,842.2,0.8265,0.1083,25.25,71.65,295.85,118,4,2018,15.384
2018-04-29,47.1071,-149.9529,768.1,0.5876,0.1065,23.62,79.12,304.8,119,4,2018,13.961
2018-04-30,4.7211,137.6699,353.7,0.6376,0.115,59.43,67.56,296.6,120,4,2018,32.434
2018-05-01,36.8928,109.2973,331.8,0.6641,0.1412,51.94,72.57,267.82,121,5,2018,23.363
2018-05-02,47.531,1.8744,521.6,0.7346,0.201,36.05,57.06,290.75,122,5,2018,19.751
2018-05-03,-21.8396,168.1656,44.7,0.6852,0.0922,61.26,94.39,278.68,123,5,2018,30.374
2018-05-04,-46.7938,-29.606,312.0,0.7882,0.2315,31.72,67.72,298.81,124,5,2018,17.641
2018-05-05,-32.6478,174.2797,561.0,0.8379,0.2427,29.34,65.26,324.4,125,5,2018,27.345
2018-05-06,-8.7471,60.4512,650.6,0.807,0.1254,67.93,62.91,264.44,126,5,2018,35.698
2018-05-07,38.1618,48.4817,324.6,0.8857,0.2161,57.94,66.4,262.29,127,5,2018,19.23
2018-05-08,43.2877,-120.2562,901.4,0.7566,0.109,0.0,54.32,350.22,128,5,2018,18.21
2018-05-09,-59.1657,137.494,168.0,0.5687,0.2425,59.94,63.62,252.86,129,5,2018,11.801
2018-05-10,1.2897,-26.1037,215.3,0.8723,0.1844,37.08,60.56,333.48,130,5,2018,46.496
2018-05-11,-9.9107,-121.596,48.9,0.6707,0.1785,23.27,64.83,333.06,131,5,2018,42.64
2018-05-12,-33.3471,-175.4613,184.8,0.804,0.1534,51.79,92.8,290.86,132,5,2018,24.879
2018-05-13,-45.6162,21.512,867.4,0.8534,0.05,37.25,71.41,320.28,133,5,2018,15.849
2018-05-14,-19.4862,9.8639,695.1,0.7626,0.1129,48.47,74.08,318.81,134,5,2018,30.794
2018-05-15,53.1492,78.9673,810.8,0.5296,0.153,36.13,70.2,284.61,135,5,2018,10.395
2018-05-16,-21.2156,140.4929,435.2,0.617,0.1006,58.83,84.15,296.44,136,5,2018,24.874
2018-05-17,2.2549,-151.4136,182.8,0.8442,0.1502,59.73,56.43,317.12,137,5,2018,34.559
2018-05-18,24.3623,83.3387,130.1,0.6825,0.1342,44.94,59.4,319.87,138,5,2018,30.26
2018-05-19,-16.3644,-112.5317,970.6,0.7085,0.1106,10.13,51.57,367.18,139,5,2018,30.232
2018-05-20,56.6138,128.9437,78.2,0.7317,0.1418,44.91,68.76,272.91,140,5,2018,14.478
2018-05-21,55.4937,114.8629,161.3,0.7232,0.1584,60.1,69.04,208.6,141,5,2018,6.42
2018-05-22,-29.7861,14.6858,754.9,0.7077,0.2223,29.12,58.36,283.23,142,5,2018,23.379
2018-05-23,-0.3302,75.6874,435.4,0.6682,0.1224,65.7,69.02,276.85,143,5,2018,29.715
2018-05-24,-23.8946,-66.834,75.2,0.6451,0.1397,34.32,72.13,310.76,144,5,2018,31.487
2018-05-25,-25.8191,-10.3796,386.6,0.7567,0.1457,44.41,62.11,280.73,145,5,2018,27.531
2018-05-26,-55.5736,115.7893,110.3,0.6886,0.217,31.48,50.36,286.68,146,5,2018,14.4
2018-05-27,13.1477,-14.6645,740.3,0.6442,0.1888,49.86,51.85,252.99,147,5,2018,30.109
2018-05-28,0.3215,-51.1926,724.5,0.7765,0.05,38.48,59.17,298.67,148,5,2018,34.397
2018-05-29,-53.8225,-2.0835,512.8,0.6101,0.2527,51.73,62.04,231.19,149,5,2018,9.69
2018-05-30,-26.5624,118.1697,444.7,0.5639,0.2504,63.22,53.31,225.23,150,5,2018,23.821
2018-05-31,48.9919,-59.3251,1004.5,0.545,0.1465,26.1,50.92,315.43,151,5,2018,4.609
2018-06-01,-31.2526,-117.4458,299.9,0.5385,0.1369,37.74,54.96,262.56,152,6,2018,21.608
2018-06-02,-42.6126,76.325,172.7,0.5927,0.1736,88.29,68.0,187.93,153,6,2018,13.43
2018-06-03,-1.2657,117.3522,479.8,0.7652,0.1413,43.47,57.38,313.39,154,6,2018,35.675
2018-06-04,58.2781,-143.7705,1134.4,0.5093,0.2251,44.35,44.68,253.87,155,6,2018,8.173
2018-06-05,-30.9534,-93.6453,105.9,0.6373,0.0958,18.75,58.07,292.47,156,6,2018,22.468
2018-06-06,20.6563,-128.8901,155.4,0.5559,0.1342,22.49,67.25,330.04,157,6,2018,26.805
2018-06-07,31.3944,-54.7411,466.6,0.5826,0.2743,0.62,55.99,345.2,158,6,2018,17.918
2018-06-08,-31.4835,-17.8736,278.4,0.4529,0.153,29.59,73.95,341.52,159,6,2018,24.767
2018-06-09,27.386,89.5775,92.9,0.5806,0.2616,45.04,74.28,282.38,160,6,2018,21.228
2018-06-10,-15.866,54.4131,748.7,0.5859,0.2153,49.31,59.79,271.58,161,6,2018,22.988
2018-06-11,15.8767,43.5343,1228.0,0.6544,0.1094,37.3,46.69,274.12,162,6,2018,23.757
2018-06-12,16.0236,-53.145,378.5,0.6178,0.234,17.26,70.48,305.18,163,6,2018,28.703
2018-06-13,4.293,122.9211,61.6,0.4744,0.197,50.7,75.47,255.78,164,6,2018,31.734
2018-06-14,-49.1652,-10.3366,319.6,0.6634,0.1979,37.86,69.9,284.31,165,6,2018,18.004
2018-06-15,40.2363,172.4778,403.2,0.582,0.2299,18.4,81.63,296.17,166,6,2018,15.389
2018-06-16,-21.5064,48.2912,741.6,0.5925,0.2367,33.25,65.32,299.74,167,6,2018,19.908
2018-06-17,-37.6178,-134.5447,490.1,0.553,0.2558,31.17,72.84,307.72,168,6,2018,12.999
2018-06-18,-55.107,63.4239,299.0,0.4751,0.289,45.93,66.35,186.81,169,6,2018,3.812
2018-06-19,10.9072,-62.9626,64.3,0.5846,0.2387,38.3,77.48,307.64,170,6,2018,24.391
2018-06-20,21.3077,67.0778,136.9,0.6003,0.1535,61.8,61.99,242.16,171,6,2018,22.773
2018-06-21,-58.0095,-154.9292,633.9,0.3328,0.2119,40.63,52.56,244.72,172,6,2018,4.98
2018-06-22,1.4512,-117.0427,665.5,0.4955,0.3724,43.35,63.42,255.74,173,6,2018,25.238
2018-06-23,-32.8205,128.0654,318.3,0.5029,0.2676,51.1,68.7,230.59,174,6,2018,12.206
2018-06-24,17.4207,-98.2154,935.9,0.5603,0.3497,11.59,62.24,323.31,175,6,2018,24.549
2018-06-25,-39.076,121.3348,529.6,0.6311,0.3065,70.16,75.68,257.3,176,6,2018,5.389
2018-06-26,22.9125,-79.4606,859.8,0.4439,0.2487,27.98,41.73,303.85,177,6,2018,13.924
2018-06-27,-13.5918,51.4375,236.9,0.4712,0.2535,52.83,56.13,274.76,178,6,2018,21.208
2018-06-28,52.4076,69.8942,246.3,0.4284,0.2425,79.65,67.17,175.28,179,6,2018,-1.331
2018-06-29,-43.4975,4.5557,240.4,0.4059,0.1582,38.4,57.27,237.25,180,6,2018,11.672
2018-06-30,-19.072,-70.0882,501.1,0.4682,0.2469,21.69,95.62,274.72,181,6,2018,16.958
2018-07-01,-46.3832,-103.448,1018.5,0.5493,0.3094,20.87,60.86,261.23,182,7,2018,4.237
2018-07-02,50.9632,-168.0518,582.4,0.3557,0.2206,21.84,57.59,223.12,183,7,2018,7.403
2018-07-03,45.2807,-70.5793,202.9,0.506,0.2731,22.3,61.92,253.57,184,7,2018,7.842
2018-07-04,-29.047,55.1386,110.5,0.305,0.2979,77.36,59.64,185.64,185,7,2018,14.37
2018-07-05,19.1981,157.7897,792.0,0.4209,0.2127,54.23,56.84,231.86,186,7,2018,19.684
2018-07-06,38.0667,133.6336,85.9,0.4232,0.2363,54.94,68.3,224.83,187,7,2018,9.075
2018-07-07,6.6241,95.7833,951.4,0.6391,0.2129,57.47,53.94,238.66,188,7,2018,23.305
2018-07-08,3.5581,103.841,186.2,0.4395,0.2253,64.38,63.26,219.79,189,7,2018,24.153
2018-07-09,-30.9777,59.3946,936.2,0.2277,0.2019,68.46,63.95,191.85,190,7,2018,8.476
2018-07-10,-48.8277,-86.2967,571.6,0.2229,0.2192,29.18,69.73,209.25,191,7,2018,-2.209
2018-07-11,47.6659,146.5902,245.2,0.4226,0.3372,46.03,67.29,211.84,192,7,2018,-0.67
2018-07-12,48.0502,61.4636,92.2,0.475,0.222,62.44,54.7,178.12,193,7,2018,3.874
2018-07-13,15.9722,21.7586,163.6,0.4754,0.2844,54.61,72.44,235.49,194,7,2018,15.772
2018-07-14,-19.3164,-140.0438,471.3,0.4477,0.2548,12.05,77.43,305.94,195,7,2018,16.036
2018-07-15,-18.0949,-19.06,330.9,0.5429,0.3415,35.99,79.59,269.82,196,7,2018,15.842
2018-07-16,27.1147,-14.271,62.5,0.3616,0.3482,2.65,73.64,311.58,197,7,2018,17.353
2018-07-17,47.6532,131.2429,233.7,0.4784,0.3196,62.28,80.29,191.23,198,7,2018,-0.44
2018-07-18,46.4504,16.7934,331.4,0.2223,0.294,55.68,60.01,193.35,199,7,2018,-0.814
2018-07-19,33.5851,-43.0558,551.5,0.3045,0.2752,37.56,64.1,222.8,200,7,2018,6.222
2018-07-20,17.0438,171.6481,483.3,0.2216,0.235,36.98,50.38,213.8,201,7,2018,13.736
2018-07-21,-49.9032,-140.1406,91.9,0.3388,0.3788,31.82,68.32,254.61,202,7,2018,-0.438
2018-07-22,-40.6046,-27.8826,161.3,0.3683,0.2511,52.01,78.24,205.89,203,7,2018,0.074
2018-07-23,47.8265,-164.8711,374.9,0.3707,0.3194,55.99,55.9,173.35,204,7,2018,0.124
2018-07-24,12.7715,86.3655,417.6,0.3911,0.3579,59.52,52.94,189.87,205,7,2018,13.959
2018-07-25,-58.8964,150.5076,242.2,0.2415,0.2526,51.94,62.17,178.34,206,7,2018,-2.534
2018-07-26,-47.8234,-79.1866,16.4,0.326,0.3429,37.02,64.01,225.19,207,7,2018,-1.416
2018-07-27,19.6202,129.003,1081.3,0.2176,0.3479,33.03,54.62,262.58,208,7,2018,7.892
2018-07-28,-59.3926,-74.8014,89.6,0.4557,0.3699,15.85,63.24,240.71,209,7,2018,2.505
2018-07-29,-40.703,147.8773,371.1,0.3093,0.2781,70.67,77.8,130.01,210,7,2018,-3.402
2018-07-30,5.8481,91.4263,460.2,0.3099,0.2557,74.62,46.4,173.9,211,7,2018,16.48
2018-07-31,23.0274,109.7664,352.4,0.5057,0.2916,64.36,77.36,185.95,212,7,2018,5.676
2018-08-01,18.2354,-173.5176,269.0,0.221,0.3315,15.15,52.74,258.45,213,8,2018,11.599
2018-08-02,-33.0877,166.6117,178.1,0.2171,0.3175,43.88,43.71,202.17,214,8,2018,11.058
2018-08-03,25.4615,81.6016,880.4,0.2221,0.3019,50.94,53.62,209.87,215,8,2018,5.782
2018-08-04,-31.5301,-70.2896,1022.9,0.3155,0.224,26.14,48.42,241.32,216,8,2018,5.148
2018-08-05,-20.952,118.5821,373.1,0.3693,0.3516,45.42,50.69,212.37,217,8,2018,6.729
2018-08-06,29.579,-78.6524,109.6,0.3894,0.4232,5.01,49.33,278.68,218,8,2018,12.05
2018-08-07,17.9559,134.1914,188.1,0.5766,0.3568,23.37,68.63,235.91,219,8,2018,17.003
2018-08-08,41.9068,-139.4711,85.8,0.0696,0.3474,45.33,69.86,194.62,220,8,2018,2.379
2018-08-09,18.9135,73.327,502.4,0.3715,0.3656,53.16,65.74,225.3,221,8,2018,10.623
2018-08-10,8.197,14.6515,8.7,0.2552,0.3629,47.42,65.54,217.77,222,8,2018,13.384
2018-08-11,-48.759,-145.2476,1166.0,0.2153,0.3599,28.57,51.6,241.49,223,8,2018,-6.126
2018-08-12,-15.8741,-92.9182,776.2,0.2383,0.364,4.01,52.85,293.52,224,8,2018,13.732
2018-08-13,-28.1757,-175.5345,385.0,0.1974,0.3224,19.56,43.88,253.26,225,8,2018,3.7
2018-08-14,-30.7212,-11.2435,710.8,0.4508,0.2977,21.02,44.14,257.74,226,8,2018,3.569
2018-08-15,56.7613,-71.5445,742.4,0.3316,0.2944,10.18,53.47,215.83,227,8,2018,-4.864
2018-08-16,-12.8283,35.4087,74.4,0.2887,0.3686,57.09,63.05,190.12,228,8,2018,14.431
2018-08-17,47.0456,-72.9944,26.5,0.3885,0.3074,8.94,75.88,247.46,229,8,2018,-3.654
2018-08-18,15.7366,-72.0291,331.3,0.1267,0.3708,47.17,65.14,232.45,230,8,2018,11.23
2018-08-19,35.3774,87.5496,644.7,0.1266,0.3624,75.39,58.91,171.41,231,8,2018,-3.138
2018-08-20,0.3165,-162.6686,355.6,0.0569,0.4043,46.17,53.0,186.82,232,8,2018,17.434
2018-08-21,9.2285,145.0422,330.8,0.2001,0.427,49.66,45.23,200.57,233,8,2018,11.088
2018-08-22,-0.8979,126.815,21.1,0.2842,0.3699,78.73,69.49,152.28,234,8,2018,16.524
2018-08-23,-36.5708,60.4097,270.4,0.2554,0.2791,54.12,66.3,190.92,235,8,2018,1.991
2018-08-24,26.6943,33.5598,269.7,0.2659,0.3392,50.59,37.39,167.51,236,8,2018,5.037
2018-08-25,-26.3073,141.2289,1089.0,0.1071,0.3604,55.07,37.46,187.71,237,8,2018,0.205
2018-08-26,-57.0821,-113.2811,254.4,0.2902,0.2246,32.16,55.08,204.75,238,8,2018,-8.427
2018-08-27,17.4567,-151.5711,502.2,0.2719,0.4375,40.03,59.09,208.14,239,8,2018,11.094
2018-08-28,-38.7467,-93.7763,895.6,0.301,0.3547,12.92,44.55,225.83,240,8,2018,-1.798
2018-08-29,52.855,106.0482,1208.6,0.018,0.3455,51.23,41.85,168.54,241,8,2018,-16.039
2018-08-30,54.4714,-167.5187,138.2,0.2334,0.3926,45.28,60.49,211.98,242,8,2018,-9.778
2018-08-31,49.7837,29.8105,496.6,0.0873,0.3019,60.67,52.71,144.66,243,8,2018,-8.979
2018-09-01,-15.581,178.3575,527.9,0.1955,0.4044,34.67,48.83,187.81,244,9,2018,9.668
2018-09-02,-58.1452,128.0506,378.2,0.2426,0.3141,31.94,52.79,205.86,245,9,2018,-12.859
2018-09-03,51.3982,7.7204,260.5,0.2055,0.3238,39.58,49.4,180.5,246,9,2018,-2.008
2018-09-04,-8.6179,-157.0893,474.4,0.1454,0.3441,41.57,59.59,177.77,247,9,2018,10.602
2018-09-05,55.9986,119.2945,712.9,0.1859,0.409,84.52,58.74,129.42,248,9,2018,-14.966
2018-09-06,55.6344,35.6323,572.8,0.0305,0.3082,33.68,44.31,173.21,249,9,2018,-11.074
2018-09-07,42.3611,-138.6241,350.5,0.314,0.3865,20.38,76.23,203.9,250,9,2018,-4.195
2018-09-08,-24.6661,-146.2114,211.0,0.1934,0.2821,23.04,57.56,261.76,251,9,2018,6.568
2018-09-09,-13.7883,147.4657,1118.7,0.3301,0.4444,71.09,65.12,157.68,252,9,2018,3.671
2018-09-10,42.1364,60.9121,30.0,0.1408,0.4067,56.95,55.94,153.21,253,9,2018,-4.46
